,G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
24,2,Sep 7 2019,7:30 PM,Sat,(10) Auburn,,Tulane,American,W,24,6,2,0,W 2,,
25,3,Sep 14 2019,7:00 PM,Sat,(8) Auburn,,Kent State,MAC,W,55,16,3,0,W 3,,
26,4,Sep 21 2019,3:30 PM,Sat,(8) Auburn,@,(17) Texas A&M,SEC,W,28,20,4,0,W 4,,
27,5,Sep 28 2019,7:00 PM,Sat,(7) Auburn,,Mississippi State,SEC,W,56,23,5,0,W 5,,
28,6,Oct 5 2019,3:30 PM,Sat,(7) Auburn,@,(10) Florida,SEC,L,13,24,5,1,L 1,,
29,7,Oct 19 2019,12:00 PM,Sat,(11) Auburn,@,Arkansas,SEC,W,51,10,6,1,W 1,,
30,9,Nov 2 2019,1:00 PM,Sat,(9) Auburn,,Ole Miss,SEC,,,,,,,,
31,10,Nov 16 2019,12:00 PM,Sat,(9) Auburn,,(10) Georgia,SEC,,,,,,,,
32,11,Nov 23 2019,12:00 PM,Sat,(9) Auburn,,Samford,Non-Major,,,,,,,,
33,1,Aug 29 2019,8:30 PM,Thu,(12) Texas A&M,,Texas State,Sun Belt,W,41,7,1,0,W 1,,
34,2,Sep 7 2019,3:30 PM,Sat,(12) Texas A&M,@,(1) Clemson,ACC,L,10,24,1,1,L 1,,
35,3,Sep 14 2019,7:00 PM,Sat,(16) Texas A&M,,Lamar,Non-Major,W,62,3,2,1,W 1,,
36,5,Sep 28 2019,12:00 PM,Sat,(23) Texas A&M,N,Arkansas,SEC,W,31,27,3,2,W 1,,
37,7,Oct 19 2019,7:30 PM,Sat,Texas A&M,@,Ole Miss,SEC,W,24,17,4,3,W 1,,
38,8,Oct 26 2019,12:00 PM,Sat,Texas A&M,,Mississippi State,SEC,,,,,,,,
39,9,Nov 2 2019,1:00 PM,Sat,Texas A&M,,UTSA,CUSA,,,,,,,,
40,10,Nov 16 2019,12:00 PM,Sat,Texas A&M,,South Carolina,SEC,,,,,,,,
41,11,Nov 23 2019,12:00 PM,Sat,Texas A&M,@,(10) Georgia,SEC,,,,,,,,
42,1,Aug 31 2019,12:00 PM,Sat,Ole Miss,@,Memphis,American,L,10,15,0,1,L 1,,
43,2,Sep 7 2019,7:30 PM,Sat,Ole Miss,,Arkansas,SEC,W,31,17,1,1,W 1,,
44,3,Sep 14 2019,4:00 PM,Sat,Ole Miss,,Southeastern Louisiana,Non-Major,W,40,29,2,1,W 2,,
45,4,Sep 21 2019,12:00 PM,Sat,Ole Miss,,(23) California,Pac-12,L,20,28,2,2,L 1,,
46,6,Oct 5 2019,7:30 PM,Sat,Ole Miss,,Vanderbilt,SEC,W,31,6,3,3,W 1,,
47,7,Oct 12 2019,7:00 PM,Sat,Ole Miss,@,Missouri,SEC,L,27,38,3,4,L 1,,
48,10,Nov 9 2019,12:00 PM,Sat,Ole Miss,,New Mexico State,Ind,,,,,,,,
49,12,Nov 28 2019,7:30 PM,Thu,Ole Miss,@,Mississippi State,SEC,,,,,,,,
50,1,Aug 31 2019,12:00 PM,Sat,Mississippi State,N,Louisiana,Sun Belt,W,38,28,1,0,W 1,,
51,2,Sep 7 2019,3:30 PM,Sat,Mississippi State,,Southern Mississippi,CUSA,W,38,15,2,0,W 2,,
52,3,Sep 14 2019,12:00 PM,Sat,Mississippi State,,Kansas State,Big 12,L,24,31,2,1,L 1,,
53,4,Sep 21 2019,4:00 PM,Sat,Mississippi State,,Kentucky,SEC,W,28,13,3,1,W 1,,
54,6,Oct 12 2019,12:00 PM,Sat,Mississippi State,@,Tennessee,SEC,L,10,20,3,3,L 2,,
55,9,Nov 2 2019,1:00 PM,Sat,Mississippi State,@,Arkansas,SEC,,,,,,,,
56,11,Nov 23 2019,12:00 PM,Sat,Mississippi State,,Abilene Christian,Non-Major,,,,,,,,
57,1,Aug 31 2019,4:00 PM,Sat,Arkansas,,Portland State,Non-Major,W,20,13,1,0,W 1,,
58,3,Sep 14 2019,4:00 PM,Sat,Arkansas,,Colorado State,MWC,W,55,34,2,1,W 1,,
59,4,Sep 21 2019,7:30 PM,Sat,Arkansas,,San Jose State,MWC,L,24,31,2,2,L 1,,
60,6,Oct 12 2019,7:30 PM,Sat,Arkansas,@,Kentucky,SEC,L,20,24,2,4,L 3,,
61,10,Nov 9 2019,12:00 PM,Sat,Arkansas,,Western Kentucky,CUSA,,,,,,,,
62,12,Nov 29 2019,,Fri,Arkansas,,Missouri,SEC,,,,,,,,
63,1,Aug 24 2019,6:00 PM,Sat,(8) Florida,N,Miami (FL),ACC,W,24,20,1,0,W 1,,
64,2,Sep 7 2019,7:30 PM,Sat,(11) Florida,,Tennessee-Martin,Non-Major,W,45,0,2,0,W 2,,
65,3,Sep 14 2019,7:00 PM,Sat,(9) Florida,@,Kentucky,SEC,W,29,21,3,0,W 3,,
66,4,Sep 21 2019,12:00 PM,Sat,(9) Florida,,Tennessee,SEC,W,34,3,4,0,W 4,,
67,5,Sep 28 2019,4:00 PM,Sat,(9) Florida,,Towson,Non-Major,W,38,0,5,0,W 5,,
68,8,Oct 19 2019,12:00 PM,Sat,(9) Florida,@,South Carolina,SEC,W,38,27,7,1,W 1,,
69,9,Nov 2 2019,3:30 PM,Sat,(7) Florida,N,(10) Georgia,SEC,,,,,,,,TIAA Bank Field - Jacksonville Florida
70,10,Nov 9 2019,12:00 PM,Sat,(7) Florida,,Vanderbilt,SEC,,,,,,,,
71,11,Nov 16 2019,12:00 PM,Sat,(7) Florida,@,Missouri,SEC,,,,,,,,
72,12,Nov 30 2019,12:00 PM,Sat,(7) Florida,,Florida State,ACC,,,,,,,,
73,1,Aug 31 2019,7:30 PM,Sat,(3) Georgia,@,Vanderbilt,SEC,W,30,6,1,0,W 1,,
74,2,Sep 7 2019,4:00 PM,Sat,(3) Georgia,,Murray State,Non-Major,W,63,17,2,0,W 2,,
75,3,Sep 14 2019,12:00 PM,Sat,(3) Georgia,,Arkansas State,Sun Belt,W,55,0,3,0,W 3,,
76,4,Sep 21 2019,8:00 PM,Sat,(3) Georgia,,(7) Notre Dame,Ind,W,23,17,4,0,W 4,,
77,5,Oct 5 2019,7:00 PM,Sat,(3) Georgia,@,Tennessee,SEC,W,43,14,5,0,W 5,,
78,6,Oct 12 2019,12:00 PM,Sat,(3) Georgia,,South Carolina,SEC,L,17,20,5,1,L 1,,
79,7,Oct 19 2019,6:00 PM,Sat,(10) Georgia,,Kentucky,SEC,W,21,0,6,1,W 1,,
80,9,Nov 9 2019,12:00 PM,Sat,(10) Georgia,,Missouri,SEC,,,,,,,,
81,12,Nov 30 2019,12:00 PM,Sat,(10) Georgia,@,Georgia Tech,ACC,,,,,,,,
82,1,Aug 31 2019,7:30 PM,Sat,Missouri,@,Wyoming,MWC,L,31,37,0,1,L 1,,
83,2,Sep 7 2019,12:00 PM,Sat,Missouri,,West Virginia,Big 12,W,38,7,1,1,W 1,,
84,3,Sep 14 2019,7:30 PM,Sat,Missouri,,Southeast Missouri State,Non-Major,W,50,0,2,1,W 2,,
85,4,Sep 21 2019,4:00 PM,Sat,Missouri,,South Carolina,SEC,W,34,14,3,1,W 3,,
86,5,Oct 5 2019,4:00 PM,Sat,Missouri,,Troy,Sun Belt,W,42,10,4,1,W 4,,
87,7,Oct 19 2019,4:00 PM,Sat,(22) Missouri,@,Vanderbilt,SEC,L,14,21,5,2,L 1,,
88,8,Oct 26 2019,7:30 PM,Sat,Missouri,@,Kentucky,SEC,,,,,,,,
89,11,Nov 23 2019,12:00 PM,Sat,Missouri,,Tennessee,SEC,,,,,,,,
90,1,Aug 31 2019,3:30 PM,Sat,South Carolina,N,North Carolina,ACC,L,20,24,0,1,L 1,,
91,2,Sep 7 2019,12:00 PM,Sat,South Carolina,,Charleston Southern,Non-Major,W,72,10,1,1,W 1,,
92,5,Sep 28 2019,7:30 PM,Sat,South Carolina,,Kentucky,SEC,W,24,7,2,3,W 1,,
93,8,Oct 26 2019,4:00 PM,Sat,South Carolina,@,Tennessee,SEC,,,,,,,,
94,9,Nov 2 2019,1:00 PM,Sat,South Carolina,,Vanderbilt,SEC,,,,,,,,
95,10,Nov 9 2019,12:00 PM,Sat,South Carolina,,(21) Appalachian State,Sun Belt,,,,,,,,
96,12,Nov 30 2019,12:00 PM,Sat,South Carolina,,(4) Clemson,ACC,,,,,,,,
97,1,Aug 31 2019,12:00 PM,Sat,Kentucky,,Toledo,MAC,W,38,24,1,0,W 1,,
98,2,Sep 7 2019,7:30 PM,Sat,Kentucky,,Eastern Michigan,MAC,W,38,17,2,0,W 2,,
99,9,Nov 9 2019,12:00 PM,Sat,Kentucky,,Tennessee,SEC,,,,,,,,
100,10,Nov 16 2019,12:00 PM,Sat,Kentucky,@,Vanderbilt,SEC,,,,,,,,
101,11,Nov 23 2019,12:00 PM,Sat,Kentucky,,Tennessee-Martin,Non-Major,,,,,,,,
102,12,Nov 30 2019,12:00 PM,Sat,Kentucky,,Louisville,ACC,,,,,,,,
103,1,Aug 31 2019,3:30 PM,Sat,Tennessee,,Georgia State,Sun Belt,L,30,38,0,1,L 1,,
104,2,Sep 7 2019,7:00 PM,Sat,Tennessee,,Brigham Young,Ind,L,26,29,0,2,L 2,,
105,3,Sep 14 2019,12:00 PM,Sat,Tennessee,,Chattanooga,Non-Major,W,45,0,1,2,W 1,,
106,9,Nov 2 2019,1:00 PM,Sat,Tennessee,,UAB,CUSA,,,,,,,,
107,12,Nov 30 2019,12:00 PM,Sat,Tennessee,,Vanderbilt,SEC,,,,,,,,
108,2,Sep 7 2019,12:00 PM,Sat,Vanderbilt,@,Purdue,Big Ten,L,24,42,0,2,L 2,,
109,4,Sep 28 2019,12:00 PM,Sat,Vanderbilt,,Northern Illinois,MAC,W,24,18,1,3,W 1,,
110,6,Oct 12 2019,4:00 PM,Sat,Vanderbilt,,Nevada-Las Vegas,MWC,L,10,34,1,5,L 2,,
111,11,Nov 23 2019,12:00 PM,Sat,Vanderbilt,,East Tennessee State,Non-Major,,,,,,,,
112,1,Aug 29 2019,8:00 PM,Thu,(1) Clemson,,Georgia Tech,ACC,W,52,14,1,0,W 1,,
113,3,Sep 14 2019,7:30 PM,Sat,(1) Clemson,@,Syracuse,ACC,W,41,6,3,0,W 3,,
114,4,Sep 21 2019,7:30 PM,Sat,(1) Clemson,,Charlotte,CUSA,W,52,10,4,0,W 4,,
115,5,Sep 28 2019,3:30 PM,Sat,(1) Clemson,@,North Carolina,ACC,W,21,20,5,0,W 5,,
116,6,Oct 12 2019,3:30 PM,Sat,(2) Clemson,,Florida State,ACC,W,45,14,6,0,W 6,,
117,7,Oct 19 2019,12:00 PM,Sat,(3) Clemson,@,Louisville,ACC,W,45,10,7,0,W 7,,
118,8,Oct 26 2019,7:30 PM,Sat,(4) Clemson,,Boston College,ACC,,,,,,,,
119,9,Nov 2 2019,4:00 PM,Sat,(4) Clemson,,Wofford,Non-Major,,,,,,,,
120,10,Nov 9 2019,12:00 PM,Sat,(4) Clemson,@,North Carolina State,ACC,,,,,,,,
121,11,Nov 16 2019,12:00 PM,Sat,(4) Clemson,,(25) Wake Forest,ACC,,,,,,,,
122,1,Aug 30 2019,8:00 PM,Fri,Wake Forest,,Utah State,MWC,W,38,35,1,0,W 1,,
123,2,Sep 6 2019,8:00 PM,Fri,Wake Forest,@,Rice,CUSA,W,41,21,2,0,W 2,,
124,3,Sep 13 2019,6:00 PM,Fri,Wake Forest,,North Carolina,ACC,W,24,18,3,0,W 3,,
125,4,Sep 21 2019,12:00 PM,Sat,Wake Forest,,Elon,Non-Major,W,49,7,4,0,W 4,,
126,5,Sep 28 2019,3:30 PM,Sat,Wake Forest,@,Boston College,ACC,W,27,24,5,0,W 5,,
127,6,Oct 12 2019,7:30 PM,Sat,(19) Wake Forest,,Louisville,ACC,L,59,62,5,1,L 1,,
128,7,Oct 19 2019,7:30 PM,Sat,Wake Forest,,Florida State,ACC,W,22,20,6,1,W 1,,
129,8,Nov 2 2019,12:00 PM,Sat,(25) Wake Forest,,North Carolina State,ACC,,,,,,,,
130,9,Nov 9 2019,12:00 PM,Sat,(25) Wake Forest,@,Virginia Tech,ACC,,,,,,,,
131,11,Nov 23 2019,12:00 PM,Sat,(25) Wake Forest,,Duke,ACC,,,,,,,,
132,12,Nov 30 2019,12:00 PM,Sat,(25) Wake Forest,@,Syracuse,ACC,,,,,,,,
133,1,Aug 31 2019,4:00 PM,Sat,Boston College,,Virginia Tech,ACC,W,35,28,1,0,W 1,,
134,2,Sep 7 2019,3:30 PM,Sat,Boston College,,Richmond,Non-Major,W,45,13,2,0,W 2,,
135,3,Sep 13 2019,7:30 PM,Fri,Boston College,,Kansas,Big 12,L,24,48,2,1,L 1,,
136,4,Sep 21 2019,12:00 PM,Sat,Boston College,@,Rutgers,Big Ten,W,30,16,3,1,W 1,,
137,6,Oct 5 2019,12:30 PM,Sat,Boston College,@,Louisville,ACC,L,39,41,3,3,L 2,,
138,7,Oct 19 2019,12:00 PM,Sat,Boston College,,North Carolina State,ACC,W,45,24,4,3,W 1,,
139,9,Nov 2 2019,12:00 PM,Sat,Boston College,@,Syracuse,ACC,,,,,,,,
140,10,Nov 9 2019,12:00 PM,Sat,Boston College,,Florida State,ACC,,,,,,,,
141,11,Nov 23 2019,2:30 PM,Sat,Boston College,@,(8) Notre Dame,Ind,,,,,,,,
142,12,Nov 30 2019,12:00 PM,Sat,Boston College,@,Pitt,ACC,,,,,,,,
143,1,Sep 2 2019,8:00 PM,Mon,Louisville,,(9) Notre Dame,Ind,L,17,35,0,1,L 1,,
144,2,Sep 7 2019,7:00 PM,Sat,Louisville,,Eastern Kentucky,Non-Major,W,42,0,1,1,W 1,,
145,3,Sep 14 2019,4:00 PM,Sat,Louisville,N,Western Kentucky,CUSA,W,38,21,2,1,W 2,,
146,4,Sep 21 2019,3:30 PM,Sat,Louisville,@,Florida State,ACC,L,24,35,2,2,L 1,,
147,8,Oct 26 2019,3:30 PM,Sat,Louisville,,Virginia,ACC,,,,,,,,
148,9,Nov 9 2019,12:00 PM,Sat,Louisville,@,Miami (FL),ACC,,,,,,,,
149,10,Nov 16 2019,12:00 PM,Sat,Louisville,@,North Carolina State,ACC,,,,,,,,
150,11,Nov 23 2019,12:00 PM,Sat,Louisville,,Syracuse,ACC,,,,,,,,
151,1,Aug 31 2019,12:00 PM,Sat,Florida State,,Boise State,MWC,L,31,36,0,1,L 1,,
152,2,Sep 7 2019,5:00 PM,Sat,Florida State,,Louisiana-Monroe,Sun Belt,W,45,44,1,1,W 1,,
153,3,Sep 14 2019,7:30 PM,Sat,Florida State,@,(25) Virginia,ACC,L,24,31,1,2,L 1,,
154,5,Sep 28 2019,7:30 PM,Sat,Florida State,,North Carolina State,ACC,W,31,13,3,2,W 2,,
155,8,Oct 26 2019,3:30 PM,Sat,Florida State,,Syracuse,ACC,,,,,,,,
156,9,Nov 2 2019,1:00 PM,Sat,Florida State,,Miami (FL),ACC,,,,,,,,
157,11,Nov 16 2019,12:00 PM,Sat,Florida State,,Alabama State,Non-Major,,,,,,,,
158,1,Aug 31 2019,12:00 PM,Sat,North Carolina State,,East Carolina,American,W,34,6,1,0,W 1,,
159,2,Sep 7 2019,12:30 PM,Sat,North Carolina State,,Western Carolina,Non-Major,W,41,0,2,0,W 2,,
160,3,Sep 14 2019,12:00 PM,Sat,North Carolina State,@,West Virginia,Big 12,L,27,44,2,1,L 1,,
161,4,Sep 21 2019,7:00 PM,Sat,North Carolina State,,Ball State,MAC,W,34,23,3,1,W 1,,
162,6,Oct 10 2019,8:00 PM,Thu,North Carolina State,,Syracuse,ACC,W,16,10,4,2,W 1,,
163,11,Nov 21 2019,8:00 PM,Thu,North Carolina State,@,Georgia Tech,ACC,,,,,,,,
164,12,Nov 30 2019,12:00 PM,Sat,North Carolina State,,North Carolina,ACC,,,,,,,,
165,1,Aug 31 2019,6:00 PM,Sat,(22) Syracuse,@,Liberty,Ind,W,24,0,1,0,W 1,,
166,2,Sep 7 2019,12:00 PM,Sat,(21) Syracuse,@,Maryland,Big Ten,L,20,63,1,1,L 1,,
167,4,Sep 21 2019,12:00 PM,Sat,Syracuse,,Western Michigan,MAC,W,52,33,2,2,W 1,,
168,5,Sep 28 2019,12:00 PM,Sat,Syracuse,,Holy Cross,Non-Major,W,41,3,3,2,W 2,,
169,7,Oct 18 2019,7:00 PM,Fri,Syracuse,,Pitt,ACC,L,20,27,3,4,L 2,,
170,10,Nov 16 2019,12:00 PM,Sat,Syracuse,@,Duke,ACC,,,,,,,,
171,1,Aug 31 2019,7:30 PM,Sat,Virginia,@,Pitt,ACC,W,30,14,1,0,W 1,,
172,2,Sep 6 2019,8:00 PM,Fri,Virginia,,William & Mary,Non-Major,W,52,17,2,0,W 2,,
173,4,Sep 21 2019,7:00 PM,Sat,(21) Virginia,,Old Dominion,CUSA,W,28,17,4,0,W 4,,
174,5,Sep 28 2019,3:30 PM,Sat,(18) Virginia,@,(10) Notre Dame,Ind,L,20,35,4,1,L 1,,
175,6,Oct 11 2019,8:00 PM,Fri,(20) Virginia,@,Miami (FL),ACC,L,9,17,4,2,L 2,,
176,7,Oct 19 2019,3:30 PM,Sat,Virginia,,Duke,ACC,W,48,14,5,2,W 1,,
177,9,Nov 2 2019,7:30 PM,Sat,Virginia,@,North Carolina,ACC,,,,,,,,
178,10,Nov 9 2019,12:00 PM,Sat,Virginia,,Georgia Tech,ACC,,,,,,,,
179,11,Nov 23 2019,12:00 PM,Sat,Virginia,,Liberty,Ind,,,,,,,,
180,12,Nov 29 2019,12:00 PM,Fri,Virginia,,Virginia Tech,ACC,,,,,,,,
181,2,Sep 7 2019,11:00 AM,Sat,Pitt,,Ohio,MAC,W,20,10,1,1,W 1,,
182,3,Sep 14 2019,12:00 PM,Sat,Pitt,@,(13) Penn State,Big Ten,L,10,17,1,2,L 1,,
183,4,Sep 21 2019,3:30 PM,Sat,Pitt,,(15) UCF,American,W,35,34,2,2,W 1,,
184,5,Sep 28 2019,12:30 PM,Sat,Pitt,,Delaware,Non-Major,W,17,14,3,2,W 2,,
185,6,Oct 5 2019,8:00 PM,Sat,Pitt,@,Duke,ACC,W,33,30,4,2,W 3,,
186,8,Oct 26 2019,12:00 PM,Sat,Pitt,,Miami (FL),ACC,,,,,,,,
187,9,Nov 2 2019,4:00 PM,Sat,Pitt,@,Georgia Tech,ACC,,,,,,,,
188,10,Nov 14 2019,8:00 PM,Thu,Pitt,,North Carolina,ACC,,,,,,,,
189,11,Nov 23 2019,12:00 PM,Sat,Pitt,@,Virginia Tech,ACC,,,,,,,,
190,2,Sep 7 2019,12:00 PM,Sat,Virginia Tech,,Old Dominion,CUSA,W,31,17,1,1,W 1,,
191,3,Sep 14 2019,12:00 PM,Sat,Virginia Tech,,Furman,Non-Major,W,24,17,2,1,W 2,,
192,4,Sep 27 2019,7:00 PM,Fri,Virginia Tech,,Duke,ACC,L,10,45,2,2,L 1,,
193,5,Oct 5 2019,3:30 PM,Sat,Virginia Tech,@,Miami (FL),ACC,W,42,35,3,2,W 1,,
194,6,Oct 12 2019,4:00 PM,Sat,Virginia Tech,,Rhode Island,Non-Major,W,34,17,4,2,W 2,,
195,7,Oct 19 2019,3:30 PM,Sat,Virginia Tech,,North Carolina,ACC,W,43,41,5,2,W 3,,
196,8,Nov 2 2019,2:30 PM,Sat,Virginia Tech,@,(8) Notre Dame,Ind,,,,,,,,
197,10,Nov 16 2019,12:00 PM,Sat,Virginia Tech,@,Georgia Tech,ACC,,,,,,,,
198,2,Sep 7 2019,6:00 PM,Sat,Duke,,North Carolina A&T,Non-Major,W,45,13,1,1,W 1,,
199,3,Sep 14 2019,7:00 PM,Sat,Duke,@,Middle Tennessee State,CUSA,W,41,18,2,1,W 2,,
200,6,Oct 12 2019,12:30 PM,Sat,Duke,,Georgia Tech,ACC,W,41,23,4,2,W 1,,
201,8,Oct 26 2019,4:00 PM,Sat,Duke,@,North Carolina,ACC,,,,,,,,
202,9,Nov 9 2019,12:00 PM,Sat,Duke,,(8) Notre Dame,Ind,,,,,,,,
203,12,Nov 30 2019,12:00 PM,Sat,Duke,,Miami (FL),ACC,,,,,,,,
204,2,Sep 7 2019,8:00 PM,Sat,North Carolina,,Miami (FL),ACC,W,28,25,2,0,W 2,,
205,4,Sep 21 2019,3:30 PM,Sat,North Carolina,,Appalachian State,Sun Belt,L,31,34,2,2,L 2,,
206,6,Oct 5 2019,4:00 PM,Sat,North Carolina,@,Georgia Tech,ACC,W,38,22,3,3,W 1,,
207,11,Nov 23 2019,12:00 PM,Sat,North Carolina,,Mercer,Non-Major,,,,,,,,
208,3,Sep 14 2019,4:00 PM,Sat,Miami (FL),,Bethune-Cookman,Non-Major,W,63,0,1,2,W 1,,
209,4,Sep 21 2019,4:00 PM,Sat,Miami (FL),,Central Michigan,MAC,W,17,12,2,2,W 2,,
210,7,Oct 19 2019,12:00 PM,Sat,Miami (FL),,Georgia Tech,ACC,L,21,28,3,4,L 1,,
211,11,Nov 23 2019,7:00 PM,Sat,Miami (FL),@,Florida International,CUSA,,,,,,,,
212,2,Sep 7 2019,2:00 PM,Sat,Georgia Tech,,South Florida,American,W,14,10,1,1,W 1,,
213,3,Sep 14 2019,12:30 PM,Sat,Georgia Tech,,Citadel,Non-Major,L,24,27,1,2,L 1,,
214,4,Sep 28 2019,3:30 PM,Sat,Georgia Tech,@,Temple,American,L,2,24,1,3,L 2,,
215,1,Aug 29 2019,7:00 PM,Thu,Cincinnati,,UCLA,Pac-12,W,24,14,1,0,W 1,,
216,2,Sep 7 2019,12:00 PM,Sat,Cincinnati,@,(5) Ohio State,Big Ten,L,0,42,1,1,L 1,,
217,3,Sep 14 2019,12:00 PM,Sat,Cincinnati,,Miami (OH),MAC,W,35,13,2,1,W 1,,
218,4,Sep 28 2019,5:00 PM,Sat,Cincinnati,@,Marshall,CUSA,W,52,14,3,1,W 2,,
219,5,Oct 4 2019,8:00 PM,Fri,Cincinnati,,(18) UCF,American,W,27,24,4,1,W 3,,
220,6,Oct 12 2019,3:30 PM,Sat,(25) Cincinnati,@,Houston,American,W,38,23,5,1,W 4,,
221,7,Oct 19 2019,3:30 PM,Sat,(21) Cincinnati,,Tulsa,American,W,24,13,6,1,W 5,,
222,8,Nov 2 2019,7:00 PM,Sat,(18) Cincinnati,@,East Carolina,American,,,,,,,,
223,9,Nov 9 2019,12:00 PM,Sat,(18) Cincinnati,,Connecticut,American,,,,,,,,
224,10,Nov 16 2019,12:00 PM,Sat,(18) Cincinnati,@,South Florida,American,,,,,,,,
225,11,Nov 23 2019,12:00 PM,Sat,(18) Cincinnati,,Temple,American,,,,,,,,
226,12,Nov 29 2019,12:00 PM,Fri,(18) Cincinnati,@,Memphis,American,,,,,,,,
227,1,Aug 31 2019,3:00 PM,Sat,Temple,,Bucknell,Non-Major,W,56,12,1,0,W 1,,
228,2,Sep 14 2019,12:00 PM,Sat,Temple,,(21) Maryland,Big Ten,W,20,17,2,0,W 2,,
229,3,Sep 21 2019,3:30 PM,Sat,Temple,@,Buffalo,MAC,L,22,38,2,1,L 1,,
230,5,Oct 3 2019,8:00 PM,Thu,Temple,@,East Carolina,American,W,27,17,4,1,W 2,,
231,6,Oct 12 2019,12:00 PM,Sat,Temple,,(23) Memphis,American,W,30,28,5,1,W 3,,
232,7,Oct 19 2019,3:30 PM,Sat,Temple,@,(19) SMU,American,L,21,45,5,2,L 1,,
233,8,Oct 26 2019,7:00 PM,Sat,Temple,,UCF,American,,,,,,,,
234,9,Nov 7 2019,8:00 PM,Thu,Temple,@,South Florida,American,,,,,,,,
235,10,Nov 16 2019,12:00 PM,Sat,Temple,,Tulane,American,,,,,,,,
236,12,Nov 30 2019,12:00 PM,Sat,Temple,,Connecticut,American,,,,,,,,
237,1,Aug 29 2019,7:30 PM,Thu,(17) UCF,,Florida A&M,Non-Major,W,62,0,1,0,W 1,,
238,2,Sep 7 2019,7:00 PM,Sat,(18) UCF,@,Florida Atlantic,CUSA,W,48,14,2,0,W 2,,
239,3,Sep 14 2019,3:30 PM,Sat,(17) UCF,,Stanford,Pac-12,W,45,27,3,0,W 3,,
240,5,Sep 28 2019,7:00 PM,Sat,(22) UCF,,Connecticut,American,W,56,21,4,1,W 1,,
241,7,Oct 19 2019,7:00 PM,Sat,UCF,,East Carolina,American,W,41,28,5,2,W 1,,
242,9,Nov 2 2019,12:00 PM,Sat,UCF,,Houston,American,,,,,,,,
243,10,Nov 8 2019,7:00 PM,Fri,UCF,@,Tulsa,American,,,,,,,,
244,11,Nov 23 2019,12:00 PM,Sat,UCF,@,Tulane,American,,,,,,,,
245,12,Nov 29 2019,12:00 PM,Fri,UCF,,South Florida,American,,,,,,,,
246,1,Aug 30 2019,7:00 PM,Fri,South Florida,,(19) Wisconsin,Big Ten,L,0,49,0,1,L 1,,
247,3,Sep 14 2019,6:00 PM,Sat,South Florida,,South Carolina State,Non-Major,W,55,16,1,2,W 1,,
